epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,experiment
10.0,7248.68,2.52991,2.22361,1.1664,0.25717,0.21888,0.13371,0.04083,2.55448,2.30136,1.06474,0.000218,0.000218,0.000218,yolov8n_10ep
15.0,11090.3,2.43567,2.09859,1.13811,0.30359,0.2249,0.15193,0.04869,2.53411,2.20192,1.05552,0.000152,0.000152,0.000152,yolov8n_15ep
20.0,14675.8,2.35592,2.01478,1.10978,0.2753,0.23092,0.16132,0.05309,2.4429,2.1936,1.0481,0.000119,0.000119,0.000119,yolov8n_20ep
25.0,18541.2,2.30998,1.95786,1.10019,0.31451,0.24498,0.17678,0.05635,2.47497,2.16871,1.05242,9.92e-05,9.92e-05,9.92e-05,yolov8n_25ep
5.0,5627.45,2.83727,2.7301,1.18557,0.229,0.23896,0.12307,0.03595,2.62586,2.54239,1.08282,0.000416,0.000416,0.000416,yolov8n_5ep
10.0,27832.5,2.48877,2.12125,1.18885,0.26804,0.23896,0.1601,0.04586,2.49329,2.19862,1.0769,0.000218,0.000218,0.000218,yolov8s_10ep
15.0,30754.6,2.40747,2.0354,1.14137,0.28315,0.24297,0.16325,0.0516,2.50162,2.16176,1.06405,0.000152,0.000152,0.000152,yolov8s_15ep
20.0,38167.9,2.30846,1.94586,1.12913,0.28572,0.25904,0.17915,0.05375,2.45668,2.1696,1.07765,0.000119,0.000119,0.000119,yolov8s_20ep
25.0,3002.0,2.23699,1.86647,1.08284,0.29447,0.251,0.18449,0.05468,2.38387,2.13277,1.03726,9.92e-05,9.92e-05,9.92e-05,yolov8s_25ep
5.0,9309.36,2.74989,2.4245,1.18649,0.23071,0.251,0.13184,0.03722,2.62926,2.26858,1.09558,0.000416,0.000416,0.000416,yolov8s_5ep
